"Date","Price","Open","High","Low","Change %"
"Jan 01, 2017","0.208","0.106","0.218","0.060","83.20%"
"Dec 25, 2016","0.114","0.138","0.141","0.073","-12.34%"
"Dec 18, 2016","0.130","0.230","0.241","0.123","-40.31%"
"Dec 11, 2016","0.217","0.292","0.328","0.198","-20.05%"
"Dec 04, 2016","0.272","0.170","0.368","0.168","37.76%"
"Nov 27, 2016","0.197","0.045","0.288","0.018","171.76%"
"Nov 20, 2016","0.073","0.105","0.146","0.034","-33.15%"
"Nov 13, 2016","0.109","0.184","0.232","0.089","-24.79%"
"Nov 06, 2016","0.144","0.005","0.181","-0.070","-704.18%"
"Oct 30, 2016","-0.024","0.006","0.047","-0.046","-568.63%"
"Oct 23, 2016","0.005","-0.156","0.055","-0.177","-103.40%"
"Oct 16, 2016","-0.150","-0.091","-0.054","-0.164","47.93%"
"Oct 09, 2016","-0.101","-0.145","-0.084","-0.160","-24.61%"
"Oct 02, 2016","-0.134","-0.266","-0.124","-0.278","-50.41%"
"Sep 25, 2016","-0.271","-0.226","-0.222","-0.312","20.86%"
"Sep 18, 2016","-0.224","-0.135","-0.121","-0.243","60.17%"
"Sep 11, 2016","-0.140","-0.119","-0.062","-0.170","8.52%"
"Sep 04, 2016","-0.129","-0.188","-0.118","-0.273","-28.67%"
"Aug 28, 2016","-0.181","-0.171","-0.166","-0.235","-11.06%"
"Aug 21, 2016","-0.204","-0.171","-0.168","-0.236","24.69%"
"Aug 14, 2016","-0.163","-0.226","-0.154","-0.239","-31.23%"
"Aug 07, 2016","-0.237","-0.190","-0.164","-0.255","22.70%"
"Jul 31, 2016","-0.193","-0.241","-0.141","-0.242","-20.87%"
"Jul 24, 2016","-0.244","-0.147","-0.128","-0.246","60.79%"
"Jul 17, 2016","-0.152","-0.146","-0.095","-0.183","23.38%"
"Jul 10, 2016","-0.123","-0.249","-0.116","-0.263","-50.24%"
"Jul 03, 2016","-0.248","-0.198","-0.172","-0.274","26.20%"
"Jun 26, 2016","-0.196","-0.140","-0.130","-0.214","66.41%"
"Jun 19, 2016","-0.118","-0.027","0.045","-0.242","131.63%"
"Jun 12, 2016","-0.051","-0.056","-0.030","-0.107","5.38%"
"Jun 05, 2016","-0.048","-0.002","0.020","-0.060","-8,150.00%"
"May 29, 2016","0.001","0.077","0.120","-0.009","-99.12%"
"May 22, 2016","0.068","0.023","0.105","-0.003","119.61%"
"May 15, 2016","0.031","-0.014","0.068","-0.019","-407.92%"
"May 08, 2016","-0.010","0.032","0.033","-0.035","-205.21%"
"May 01, 2016","0.010","0.132","0.148","0.003","-93.36%"
"Apr 24, 2016","0.145","0.087","0.169","0.077","46.36%"
"Apr 17, 2016","0.099","-0.014","0.111","-0.020","14,014.29%"
"Apr 10, 2016","0.001","-0.036","0.048","-0.053","-102.32%"
"Apr 03, 2016","-0.030","0.001","0.029","-0.041","-243.13%"
"Mar 27, 2016","0.021","0.052","0.056","-0.002","-60.49%"
"Mar 20, 2016","0.053","0.083","0.112","0.035","-39.52%"
"Mar 13, 2016","0.088","0.146","0.189","0.070","-41.91%"
"Mar 06, 2016","0.152","0.083","0.208","0.028","39.32%"
"Feb 28, 2016","0.109","0.018","0.114","-0.017","308.61%"
"Feb 21, 2016","0.027","0.093","0.111","0.009","-68.95%"
"Feb 14, 2016","0.086","0.153","0.174","0.059","-37.91%"
"Feb 07, 2016","0.139","0.171","0.179","0.012","-22.06%"
"Jan 31, 2016","0.178","0.202","0.235","0.143","-11.64%"
"Jan 24, 2016","0.201","0.348","0.354","0.196","-41.64%"
"Jan 17, 2016","0.345","0.421","0.441","0.296","-15.91%"
"Jan 10, 2016","0.410","0.449","0.520","0.393","-7.85%"
"Jan 03, 2016","0.445","0.535","0.535","0.412","-22.63%"
"Dec 27, 2015","0.575","0.555","0.589","0.491","1.55%"
"Dec 20, 2015","0.566","0.495","0.575","0.472","16.94%"
"Dec 13, 2015","0.484","0.485","0.613","0.472","1.32%"
"Dec 06, 2015","0.478","0.613","0.616","0.463","-22.60%"
"Nov 29, 2015","0.617","0.389","0.669","0.377","60.81%"
"Nov 22, 2015","0.384","0.339","0.403","0.294","17.87%"
"Nov 15, 2015","0.326","0.387","0.420","0.314","-20.10%"
"Nov 08, 2015","0.407","0.544","0.570","0.396","-25.49%"
"Nov 01, 2015","0.547","0.369","0.551","0.367","43.54%"
"Oct 25, 2015","0.381","0.363","0.403","0.277","4.96%"
"Oct 18, 2015","0.363","0.408","0.495","0.337","-10.37%"
"Oct 11, 2015","0.405","0.470","0.481","0.384","-15.27%"
"Oct 04, 2015","0.478","0.377","0.487","0.372","28.49%"
"Sep 27, 2015","0.372","0.499","0.508","0.340","-26.63%"
"Sep 20, 2015","0.507","0.530","0.556","0.428","-3.06%"
"Sep 13, 2015","0.523","0.518","0.648","0.495","0.58%"
"Sep 06, 2015","0.520","0.541","0.585","0.510","-2.80%"
"Aug 30, 2015","0.535","0.609","0.695","0.532","-10.39%"
"Aug 23, 2015","0.597","0.428","0.633","0.389","33.86%"
"Aug 16, 2015","0.446","0.526","0.542","0.433","-16.64%"
"Aug 09, 2015","0.535","0.550","0.591","0.467","-1.47%"
"Aug 02, 2015","0.543","0.551","0.647","0.488","0.37%"
"Jul 26, 2015","0.541","0.578","0.630","0.534","-8.31%"
"Jul 19, 2015","0.590","0.664","0.692","0.581","-11.81%"
"Jul 12, 2015","0.669","0.749","0.874","0.633","-14.67%"
"Jul 05, 2015","0.784","0.608","0.785","0.499","14.96%"
"Jun 28, 2015","0.682","0.812","0.812","0.599","-16.32%"
"Jun 21, 2015","0.815","0.701","0.839","0.697","22.37%"
"Jun 14, 2015","0.666","0.699","0.742","0.629","-10.84%"
"Jun 07, 2015","0.747","0.756","0.963","0.720","-0.93%"
"May 31, 2015","0.754","0.418","0.906","0.394","84.35%"
"May 24, 2015","0.409","0.515","0.525","0.409","-22.24%"
"May 17, 2015","0.526","0.569","0.604","0.471","-5.40%"
"May 10, 2015","0.556","0.461","0.688","0.441","18.55%"
"May 03, 2015","0.469","0.306","0.713","0.301","55.30%"
"Apr 26, 2015","0.302","0.092","0.325","0.081","184.91%"
"Apr 19, 2015","0.106","0.014","0.131","0.009","360.87%"
"Apr 12, 2015","0.023","0.075","0.101","-0.006","-68.92%"
"Apr 05, 2015","0.074","0.104","0.118","0.057","-30.19%"
"Mar 29, 2015","0.106","0.124","0.136","0.073","-16.54%"
"Mar 22, 2015","0.127","0.101","0.157","0.092","19.81%"
"Mar 15, 2015","0.106","0.160","0.205","0.087","-36.53%"
"Mar 08, 2015","0.167","0.290","0.294","0.100","-43.20%"
"Mar 01, 2015","0.294","0.211","0.320","0.200","40.00%"
"Feb 22, 2015","0.210","0.280","0.293","0.173","-21.64%"
"Feb 15, 2015","0.268","0.257","0.306","0.219","8.50%"
"Feb 08, 2015","0.247","0.275","0.305","0.228","-13.03%"
"Feb 01, 2015","0.284","0.216","0.291","0.205","29.68%"
"Jan 25, 2015","0.219","0.250","0.327","0.211","-16.41%"
"Jan 18, 2015","0.262","0.341","0.462","0.244","-23.17%"
"Jan 11, 2015","0.341","0.422","0.440","0.314","-15.59%"
"Jan 04, 2015","0.404","0.424","0.451","0.367","-4.49%"
"Dec 28, 2014","0.423","0.524","0.530","0.418","-18.81%"
